City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mukalla,14.5425,49.1242,24.91,80,86,0.4,YE,1706461622
1,khabary,53.6259,79.5345,-22.6,100,96,1.84,RU,1706461622
2,papatowai,-46.5619,169.4708,12.43,87,90,1.64,NZ,1706461623
3,waitangi,-43.9535,-176.5597,17.68,97,100,4.47,NZ,1706461623
4,kavaratti,10.5669,72.642,27.53,65,29,1.38,IN,1706461623
5,port-aux-francais,-49.35,70.2167,5.57,72,89,10.57,TF,1706461623
6,colonia,50.9333,6.95,10.46,51,0,4.63,DE,1706461623
7,grytviken,-54.2811,-36.5092,5.87,67,11,7.59,GS,1706461624
8,jamaame,0.0697,42.745,26.68,82,50,5.23,SO,1706461624
9,puerto natales,-51.7236,-72.4875,20.25,34,75,11.32,CL,1706461624
10,constantia,44.1833,28.65,3.38,72,99,9.01,RO,1706461625
11,kapuskasing,49.4169,-82.4331,-1.95,80,100,2.06,CA,1706461625
12,ola,59.5833,151.2833,-25.09,81,35,2.57,RU,1706461625
13,kapa'a,22.0752,-159.319,23.18,82,0,6.69,US,1706461625
14,margaret river,-33.95,115.0667,13.24,78,71,4.07,AU,1706461626
15,qaqortoq,60.7167,-46.0333,-19.8,66,22,4.57,GL,1706461626
16,phnom penh,11.5625,104.916,26.95,69,20,1.54,KH,1706461541
17,avarua,-21.2078,-159.775,27.03,94,100,1.03,CK,1706461626
18,bredasdorp,-34.5322,20.0403,22.47,62,97,5.68,ZA,1706461627
19,stanley,54.868,-1.6985,7.77,83,20,1.03,GB,1706461585
20,roma,43.2128,-75.4557,3.94,95,100,3.09,US,1706461627
21,utrik,11.2278,169.8474,25.38,64,100,5.24,MH,1706461628
22,anadyr,64.75,177.4833,-30.72,76,0,4.0,RU,1706461628
23,hawaiian paradise park,19.5933,-154.9731,20.57,87,0,2.06,US,1706461628
24,fisterra,42.9049,-9.2629,18.19,73,100,10.95,ES,1706461628
25,st. john's,47.5649,-52.7093,0.38,83,98,3.58,CA,1706461628
26,udachny,66.4167,112.4,-30.94,87,26,1.99,RU,1706461629
27,adamstown,-25.066,-130.1015,24.51,74,100,4.92,PN,1706461629
28,nova sintra,14.8667,-24.7167,21.69,68,7,8.66,CV,1706461629
29,ostashkov,57.1467,33.1075,-8.35,97,53,2.43,RU,1706461629
30,ushuaia,-54.8,-68.3,16.81,36,0,3.09,AR,1706461482
31,atafu village,-8.5421,-172.5159,28.99,73,44,2.18,TK,1706461630
32,arraial do cabo,-22.9661,-42.0278,27.92,74,75,3.6,BR,1706461630
33,aitape,-3.1374,142.3475,26.04,84,99,1.6,PG,1706461630
34,hermanus,-34.4187,19.2345,21.0,79,89,3.43,ZA,1706461631
35,ago-are,8.5,3.4167,34.73,12,37,2.18,NG,1706461631
36,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.54,GF,1706461631
37,bom jesus,-9.0744,-44.3586,23.75,91,100,0.86,BR,1706461632
38,namibe,-15.1961,12.1522,25.16,73,5,5.12,AO,1706461632
39,vilhena,-12.7406,-60.1458,29.12,65,40,3.6,BR,1706461436
40,edinburgh of the seven seas,-37.0676,-12.3116,15.42,70,44,6.29,SH,1706461632
41,bilibino,68.0546,166.4372,-29.01,100,100,0.66,RU,1706461425
42,jamestown,42.097,-79.2353,3.9,99,100,3.6,US,1706461633
43,ebon,4.582,168.6964,27.16,69,100,5.17,MH,1706461633
44,miranda,3.2499,-76.2281,28.08,61,69,1.82,CO,1706461633
45,iskateley,67.6803,53.1512,-7.43,93,100,7.27,RU,1706461633
46,blackmans bay,-43.0167,147.3167,17.07,82,55,2.63,AU,1706461634
47,port augusta,-32.5,137.7667,24.35,38,0,3.04,AU,1706461358
48,colby,39.3958,-101.0524,7.12,58,0,5.66,US,1706461634
49,bikenibeu village,1.3673,173.1241,27.2,74,100,7.05,KI,1706461634
50,kingston,17.997,-76.7936,29.53,66,20,8.23,JM,1706461553
51,nogliki,51.8333,143.1667,-17.62,98,98,3.04,RU,1706461635
52,san antonio de pale,-1.4014,5.6325,28.01,76,60,3.95,GQ,1706461388
53,wailua homesteads,22.0669,-159.378,22.44,82,0,6.69,US,1706461635
54,bethel,41.3712,-73.414,3.44,86,100,5.14,US,1706461588
55,manado,1.487,124.8455,24.43,94,40,1.54,ID,1706461636
56,enewetak,11.3474,162.3373,26.13,77,99,8.43,MH,1706461636
57,dickinson,29.4608,-95.0513,13.34,72,0,6.69,US,1706461339
58,'ain el turk,35.7438,-0.7693,16.38,77,0,4.12,DZ,1706461636
